"region","avstånd från hållplats","bostadsbestånd","2014","2015","2016","2017","2018","2019","2020","2021"
"1463 Mark","inom 400 meter från hållplats","samtliga bostäder",8146,8244,8264,8310,8438,8422,8488,8561
"1465 Svenljunga","inom 400 meter från hållplats","samtliga bostäder",2209,2209,2226,2275,2304,2341,2337,2345
"1466 Herrljunga","inom 400 meter från hållplats","samtliga bostäder",1689,1689,1530,1541,1594,1608,1026,1996
"1470 Vara","inom 400 meter från hållplats","samtliga bostäder",2821,2828,2828,2852,3544,3494,3465,3585
"1471 Götene","inom 400 meter från hållplats","samtliga bostäder",2601,2601,2601,2631,2765,2996,2719,2733
"1472 Tibro","inom 400 meter från hållplats","samtliga bostäder",3030,3036,3039,3087,3166,3181,3188,1900
"1473 Töreboda","inom 400 meter från hållplats","samtliga bostäder",1909,1926,1929,2019,2024,2098,2091,2081
"1480 Göteborg","inom 400 meter från hållplats","samtliga bostäder",247836,250135,252387,254992,259647,263389,268296,273648
"1481 Mölndal","inom 400 meter från hållplats","samtliga bostäder",24674,25022,25596,26770,27368,27625,28022,28053
"1482 Kungälv","inom 400 meter från hållplats","samtliga bostäder",11545,11735,11793,12092,12736,14295,14687,14798
"1484 Lysekil","inom 400 meter från hållplats","samtliga bostäder",5504,5508,5522,5502,5973,5751,5828,5822
"1485 Uddevalla","inom 400 meter från hållplats","samtliga bostäder",21392,21139,21235,21525,21946,22122,22057,22264
"1486 Strömstad","inom 400 meter från hållplats","samtliga bostäder",3361,3377,3567,3568,3823,3894,4121,4064
"1487 Vänersborg","inom 400 meter från hållplats","samtliga bostäder",14228,14333,14175,14444,14027,14643,14829,15053
"1488 Trollhättan","inom 400 meter från hållplats","samtliga bostäder",24313,24526,24638,25198,25249,25604,25788,25871
"1489 Alingsås","inom 400 meter från hållplats","samtliga bostäder",12934,13073,13288,13561,14127,14502,14864,14766
"1490 Borås","inom 400 meter från hållplats","samtliga bostäder",44545,44290,44293,44843,45131,45436,45359,45544
"1491 Ulricehamn","inom 400 meter från hållplats","samtliga bostäder",7236,7329,7495,7612,7736,7750,7922,7970
"1492 Åmål","inom 400 meter från hållplats","samtliga bostäder",4739,4710,4724,4780,5165,5156,5180,5168
"1493 Mariestad","inom 400 meter från hållplats","samtliga bostäder",8791,8782,8816,8950,8778,9156,9278,9311
"1494 Lidköping","inom 400 meter från hållplats","samtliga bostäder",14394,14333,14521,14615,15041,15079,15110,15205
"1495 Skara","inom 400 meter från hållplats","samtliga bostäder",4818,6267,7104,7047,7121,6978,6985,6976
"1496 Skövde","inom 400 meter från hållplats","samtliga bostäder",21876,22027,21841,22231,22898,23511,23793,23926
"1497 Hjo","inom 400 meter från hållplats","samtliga bostäder",2687,2689,2690,2727,2737,2739,2723,2738
"1498 Tidaholm","inom 400 meter från hållplats","samtliga bostäder",3876,3756,3728,3725,3908,3912,3787,3966
"1499 Falköping","inom 400 meter från hållplats","samtliga bostäder",10480,10491,10511,10598,10621,10705,10769,10808
"1715 Kil","inom 400 meter från hållplats","samtliga bostäder",2058,2059,2190,2234,2232,2268,2282,2288
"1730 Eda","inom 400 meter från hållplats","samtliga bostäder",1145,1166,1166,1178,1583,1559,1557,1548
"1737 Torsby","inom 400 meter från hållplats","samtliga bostäder",1181,1181,1172,1093,1825,1765,1810,1969
"1760 Storfors","inom 400 meter från hållplats","samtliga bostäder",652,707,707,744,744,744,747,744
"1761 Hammarö","inom 400 meter från hållplats","samtliga bostäder",4538,4489,4553,4553,4616,4384,4401,4404
"1762 Munkfors","inom 400 meter från hållplats","samtliga bostäder",864,864,864,943,965,975,973,969
"1763 Forshaga","inom 400 meter från hållplats","samtliga bostäder",2970,2970,2970,3033,3048,3066,3069,3072
"1764 Grums","inom 400 meter från hållplats","samtliga bostäder",3078,3083,3084,3089,3113,3048,2886,2884
"1765 Årjäng","inom 400 meter från hållplats","samtliga bostäder",800,857,857,869,873,874,1173,1242
"1766 Sunne","inom 400 meter från hållplats","samtliga bostäder",1628,1758,1843,1848,1885,1942,1982,2023
"1780 Karlstad","inom 400 meter från hållplats","samtliga bostäder",41719,41943,42782,43299,44194,44870,45568,46024
"1781 Kristinehamn","inom 400 meter från hållplats","samtliga bostäder",6192,6099,5255,4717,4719,7113,7142,7163
"1782 Filipstad","inom 400 meter från hållplats","samtliga bostäder",2527,2528,2528,2531,2477,2437,2485,2481
"1783 Hagfors","inom 400 meter från hållplats","samtliga bostäder",3047,3047,3047,3059,3640,3681,3659,3646
"1784 Arvika","inom 400 meter från hållplats","samtliga bostäder",8759,8789,6595,6814,7004,9512,9491,9541
"1785 Säffle","inom 400 meter från hållplats","samtliga bostäder",4240,4420,3441,3540,3583,4834,4747,4801
"1814 Lekeberg","inom 400 meter från hållplats","samtliga bostäder",1425,1555,1559,1626,1602,1627,1671,1683
"1860 Laxå","inom 400 meter från hållplats","samtliga bostäder",885,1225,1648,1673,1272,1126,1116,1124
"1861 Hallsberg","inom 400 meter från hållplats","samtliga bostäder",4055,4215,4384,4386,4266,4215,4319,4317
"1862 Degerfors","inom 400 meter från hållplats","samtliga bostäder",2290,2291,3057,3228,3233,3237,3217,3224
"1863 Hällefors","inom 400 meter från hållplats","samtliga bostäder",2251,2248,2029,2047,2041,2107,2038,2031
"1864 Ljusnarsberg","inom 400 meter från hållplats","samtliga bostäder",1253,1262,1262,1254,1261,1264,1260,1261
"1880 Örebro","inom 400 meter från hållplats","samtliga bostäder",60902,62485,62580,64551,65414,65473,67184,67130
"1881 Kumla","inom 400 meter från hållplats","samtliga bostäder",6988,6782,7299,7352,6627,7156,6786,7375
"1882 Askersund","inom 400 meter från hållplats","samtliga bostäder",2225,2200,2006,2167,2172,2092,2208,2202
"1883 Karlskoga","inom 400 meter från hållplats","samtliga bostäder",13129,13030,12110,12167,12470,12575,12531,12300
"1884 Nora","inom 400 meter från hållplats","samtliga bostäder",3524,3548,3711,3723,3740,3731,3749,3767
"1885 Lindesberg","inom 400 meter från hållplats","samtliga bostäder",5629,5630,5616,5724,5808,5823,5742,5717
"1904 Skinnskatteberg","inom 400 meter från hållplats","samtliga bostäder",1215,1066,1064,1095,1490,1492,1403,1135
"1907 Surahammar","inom 400 meter från hållplats","samtliga bostäder",2579,2579,971,1464,1839,2246,2261,1594
"1960 Kungsör","inom 400 meter från hållplats","samtliga bostäder",2341,1818,1822,1826,1858,1804,1514,1519
"1961 Hallstahammar","inom 400 meter från hållplats","samtliga bostäder",4625,4667,2845,2883,2892,2920,2888,4779
"1962 Norberg","inom 400 meter från hållplats","samtliga bostäder",2412,2410,2541,2474,2492,2478,2479,2471
"1980 Västerås","inom 400 meter från hållplats","samtliga bostäder",55706,58515,58853,60103,63560,64407,60780,61458
"1981 Sala","inom 400 meter från hållplats","samtliga bostäder",7311,8099,8090,8158,8207,8229,8265,8242
"1982 Fagersta","inom 400 meter från hållplats","samtliga bostäder",4844,4844,4844,4854,4862,4855,4738,4845
"1983 Köping","inom 400 meter från hållplats","samtliga bostäder",3798,3800,3800,3803,3841,3845,3853,3831
"1984 Arboga","inom 400 meter från hållplats","samtliga bostäder",3635,3736,4101,4116,4223,4230,4238,1734
"2021 Vansbro","inom 400 meter från hållplats","samtliga bostäder",1057,1487,1429,1361,1746,1806,889,1638
"2023 Malung-Sälen","inom 400 meter från hållplats","samtliga bostäder",1616,1606,1400,1753,1737,1809,3171,3127
"2026 Gagnef","inom 400 meter från hållplats","samtliga bostäder",1040,1525,1500,1524,1754,1750,1832,1930
"2029 Leksand","inom 400 meter från hållplats","samtliga bostäder",4506,4629,4643,4689,5123,5209,3662,3669
"2031 Rättvik","inom 400 meter från hållplats","samtliga bostäder",3072,3084,3082,3076,3463,3703,2700,2720
"2034 Orsa","inom 400 meter från hållplats","samtliga bostäder",1872,1969,1866,1932,2822,2607,2620,2624
"2039 Älvdalen","inom 400 meter från hållplats","samtliga bostäder",721,1007,994,992,1774,1731,1867,1885
"2061 Smedjebacken","inom 400 meter från hållplats","samtliga bostäder",3062,3040,3180,3245,3354,3897,3871,3838
"2062 Mora","inom 400 meter från hållplats","samtliga bostäder",7441,7306,7311,7356,8039,8087,8145,8165
"2080 Falun","inom 400 meter från hållplats","samtliga bostäder",22731,23295,22915,23149,23723,25047,25440,25723
"2081 Borlänge","inom 400 meter från hållplats","samtliga bostäder",20616,20934,21245,21409,21674,21961,22070,21385
"2082 Säter","inom 400 meter från hållplats","samtliga bostäder",2964,3401,3402,3398,3753,3702,3789,2424
"2083 Hedemora","inom 400 meter från hållplats","samtliga bostäder",4083,4998,5079,5168,5759,5657,5665,5022
"2084 Avesta","inom 400 meter från hållplats","samtliga bostäder",8842,8934,8856,8982,9416,9281,9259,8030
"2085 Ludvika","inom 400 meter från hållplats","samtliga bostäder",10597,10806,10801,10884,11457,12129,12153,12213
"2101 Ockelbo","inom 400 meter från hållplats","samtliga bostäder",1157,1157,1157,1160,1165,1168,1170,1189
"2104 Hofors","inom 400 meter från hållplats","samtliga bostäder",3605,3605,3605,3598,3598,3596,3591,3549
"2121 Ovanåker","inom 400 meter från hållplats","samtliga bostäder",2520,2559,2567,2568,2756,2616,2674,3010
"2132 Nordanstig","inom 400 meter från hållplats","samtliga bostäder",2336,2529,2307,2318,2634,2665,2653,2663
"2161 Ljusdal","inom 400 meter från hållplats","samtliga bostäder",4711,4689,5622,5721,5603,5672,5666,5689
"2180 Gävle","inom 400 meter från hållplats","samtliga bostäder",43759,43821,44247,45393,46060,46775,46916,47469
