"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"1287 Trelleborg","totalt","totalt 16+ år","totalt",234.1,241.8,252.5,259.7,267.0,275.9,283.0,292.1
"1290 Kristianstad","totalt","totalt 16+ år","totalt",227.0,234.9,245.4,253.3,259.3,265.5,272.1,280.7
"1291 Simrishamn","totalt","totalt 16+ år","totalt",212.8,220.1,229.2,235.2,239.4,243.7,254.2,263.8
"1292 Ängelholm","totalt","totalt 16+ år","totalt",244.5,252.2,263.4,272.2,279.2,286.7,294.9,306.9
"1293 Hässleholm","totalt","totalt 16+ år","totalt",217.4,225.4,235.9,242.4,246.6,253.1,259.1,268.6
"1315 Hylte","totalt","totalt 16+ år","totalt",232.1,236.8,245.4,249.2,256.2,259.3,263.1,272.2
"1380 Halmstad","totalt","totalt 16+ år","totalt",240.0,247.8,259.2,266.5,273.7,280.6,285.0,293.7
"1381 Laholm","totalt","totalt 16+ år","totalt",228.5,236.6,244.6,252.2,258.6,263.8,272.6,282.9
"1382 Falkenberg","totalt","totalt 16+ år","totalt",236.7,244.1,252.4,258.9,268.2,274.3,280.2,287.1
"1383 Varberg","totalt","totalt 16+ år","totalt",251.2,262.5,272.3,280.1,289.6,295.3,301.9,311.4
"1384 Kungsbacka","totalt","totalt 16+ år","totalt",285.2,295.4,307.0,316.7,324.5,333.0,340.2,351.8
"1401 Härryda","totalt","totalt 16+ år","totalt",291.9,302.4,313.6,326.1,336.0,345.0,351.2,361.7
"1402 Partille","totalt","totalt 16+ år","totalt",277.2,289.1,300.8,312.3,320.4,329.0,333.7,344.3
"1407 Öckerö","totalt","totalt 16+ år","totalt",265.2,275.7,287.6,298.0,304.7,311.9,316.4,324.1
"1415 Stenungsund","totalt","totalt 16+ år","totalt",275.2,285.5,296.5,304.5,312.8,321.7,325.2,338.0
"1419 Tjörn","totalt","totalt 16+ år","totalt",262.2,273.8,285.5,295.5,301.8,310.1,316.0,327.8
"1421 Orust","totalt","totalt 16+ år","totalt",238.4,247.1,257.3,264.4,273.5,278.5,283.5,292.2
"1427 Sotenäs","totalt","totalt 16+ år","totalt",244.9,256.7,267.5,273.1,282.6,292.1,295.6,303.3
"1430 Munkedal","totalt","totalt 16+ år","totalt",224.0,235.6,246.2,251.0,255.7,264.2,268.8,279.2
